Ticker,Weight
biv,2.81
blv,3.24
bsv,2.70
vb,3.77
vo,12.81
voo,11.95
vti,18.98
vtv,17.14
vv,20.53
vwo,6.05
biv,2.44
blv,0.99
bsv,1.21
vb,0.04
vo,13.63
voo,21.98
vti,18.80
vtv,14.27
vv,19.81
vwo,6.83
biv,0.45
blv,2.28
bsv,5.77
vb,1.99
vo,18.53
voo,21.19
vti,8.37
vtv,14.51
vv,26.36
vwo,0.56
biv,0.87
blv,3.66
bsv,2.56
vb,18.97
vo,6.68
voo,11.27
vti,1.90
vtv,25.50
vv,27.00
vwo,1.60
biv,0.50
blv,0.03
bsv,1.51
vb,10.37
vo,17.02
voo,18.88
vti,15.16
vtv,8.02
vv,18.94
vwo,9.56
biv,4.08
blv,0.13
bsv,3.17
vb,2.01
vo,0.60
voo,15.89
vti,11.62
vtv,32.30
vv,22.67
vwo,7.53
biv,0.16
blv,0.08
bsv,9.46
vb,4.45
vo,5.13
voo,14.76
vti,2.24
vtv,35.65
vv,26.15
vwo,1.91
biv,2.04
blv,1.63
bsv,0.61
vb,3.09
vo,15.22
voo,13.60
vti,11.83
vtv,26.29
vv,24.66
vwo,1.03
biv,3.34
blv,7.88
bsv,2.94
vb,1.33
vo,2.03
voo,22.07
vti,7.79
vtv,28.23
vv,23.14
vwo,1.25
biv,2.24
blv,2.05
bsv,1.52
vb,18.73
vo,22.28
voo,17.02
vti,2.80
vtv,9.57
vv,22.32
vwo,1.47
biv,0.11
blv,4.46
bsv,0.66
vb,13.09
vo,11.57
voo,15.19
vti,6.73
vtv,9.87
vv,27.81
vwo,10.51
biv,2.76
blv,6.28
bsv,3.25
vb,0.94
vo,19.36
voo,0.25
vti,15.93
vtv,26.98
vv,23.69
vwo,0.55
biv,0.14
blv,7.41
bsv,0.51
vb,13.37
vo,18.95
voo,7.22
vti,4.89
vtv,12.97
vv,31.86
vwo,2.69
biv,1.26
blv,3.86
bsv,1.73
vb,14.49
vo,17.17
voo,19.66
vti,17.74
vtv,0.33
vv,20.89
vwo,2.87
biv,2.81
blv,7.46
bsv,7.47
vb,4.68
vo,7.44
voo,3.11
vti,4.53
vtv,22.20
vv,39.49
vwo,0.81
biv,3.02
blv,1.01
bsv,5.63
vb,6.03
vo,12.67
voo,22.35
vti,13.03
vtv,5.61
vv,22.34
vwo,8.30
biv,0.81
blv,2.93
bsv,5.16
vb,20.29
vo,12.57
voo,16.82
vti,4.09
vtv,10.35
vv,21.75
vwo,5.23
biv,5.92
blv,3.37
bsv,6.05
vb,3.30
vo,15.21
voo,16.94
vti,4.34
vtv,20.74
vv,20.58
vwo,3.56
biv,2.52
blv,2.35
bsv,0.69
vb,8.54
vo,16.17
voo,9.50
vti,17.58
vtv,15.54
vv,18.68
vwo,8.44
biv,1.96
blv,1.47
bsv,0.41
vb,1.70
vo,3.22
voo,22.85
vti,20.33
vtv,28.28
vv,13.95
vwo,5.82
biv,0.77
blv,7.31
bsv,5.00
vb,8.66
vo,16.47
voo,23.36
vti,7.57
vtv,7.46
vv,22.46
vwo,0.94
biv,1.20
blv,1.71
bsv,0.80
vb,16.60
vo,13.82
voo,17.26
vti,20.17
vtv,8.91
vv,17.62
vwo,1.92
biv,7.31
blv,0.86
bsv,0.87
vb,0.95
vo,24.26
voo,12.67
vti,18.74
vtv,10.44
vv,21.03
vwo,2.87
biv,1.70
blv,3.59
bsv,5.33
vb,3.13
vo,21.39
voo,21.99
vti,5.47
vtv,12.57
vv,24.19
vwo,0.63
biv,0.40
blv,1.59
bsv,12.70
vb,3.23
vo,5.90
voo,26.46
vti,9.28
vtv,11.74
vv,27.75
vwo,0.96
biv,1.82
blv,0.51
bsv,0.58
vb,10.18
vo,3.86
voo,15.17
vti,19.06
vtv,10.32
vv,24.87
vwo,13.62
biv,1.31
blv,2.57
bsv,8.52
vb,2.47
vo,25.30
voo,17.33
vti,4.27
vtv,11.52
vv,25.41
vwo,1.29
biv,1.44
blv,0.61
bsv,8.67
vb,15.53
vo,8.53
voo,21.68
vti,7.44
vtv,13.91
vv,16.05
vwo,6.13
biv,0.16
blv,0.08
bsv,9.46
vb,4.45
vo,5.13
voo,14.76
vti,2.24
vtv,35.65
vv,26.15
vwo,1.91
biv,2.04
blv,1.63
bsv,0.61
vb,3.09
vo,15.22
voo,13.60
vti,11.83
vtv,26.29
vv,24.66
vwo,1.03
biv,7.08
blv,0.03
bsv,3.37
vb,7.12
vo,13.48
voo,9.69
vti,0.88
vtv,18.93
vv,35.50
vwo,3.92
biv,6.06
blv,2.96
bsv,2.24
vb,9.48
vo,12.58
voo,13.60
vti,4.83
vtv,17.17
vv,28.01
vwo,3.06
biv,0.47
blv,0.04
bsv,4.39
vb,14.63
vo,16.64
voo,10.41
vti,11.88
vtv,18.22
vv,23.06
vwo,0.26
biv,1.00
blv,6.19
bsv,10.78
vb,9.19
vo,10.65
voo,24.14
vti,3.91
vtv,2.85
vv,30.80
vwo,0.50
biv,4.65
blv,1.16
bsv,0.46
vb,6.25
vo,5.94
voo,16.36
vti,18.44
vtv,17.30
vv,25.31
vwo,4.13
