biv,2.81,2.44,0.45,0.87,0.50,4.08,0.16,2.04,3.34,2.24,0.11,2.76,0.14,1.26,2.81,3.02,0.81,5.92,2.52,1.96,0.77,1.20,7.31,1.70,0.40,1.82,1.31,1.44,0.16,2.04,7.08,6.06,0.47,1.00,4.65
blv,3.24,0.99,2.28,3.66,0.03,0.13,0.08,1.63,7.88,2.05,4.46,6.28,7.41,3.86,7.46,1.01,2.93,3.37,2.35,1.47,7.31,1.71,0.86,3.59,1.59,0.51,2.57,0.61,0.08,1.63,0.03,2.96,0.04,6.19,1.16
bsv,2.70,1.21,5.77,2.56,1.51,3.17,9.46,0.61,2.94,1.52,0.66,3.25,0.51,1.73,7.47,5.63,5.16,6.05,0.69,0.41,5.00,0.80,0.87,5.33,12.70,0.58,8.52,8.67,9.46,0.61,3.37,2.24,4.39,10.78,0.46
vb,3.77,0.04,1.99,18.97,10.37,2.01,4.45,3.09,1.33,18.73,13.09,0.94,13.37,14.49,4.68,6.03,20.29,3.30,8.54,1.70,8.66,16.60,0.95,3.13,3.23,10.18,2.47,15.53,4.45,3.09,7.12,9.48,14.63,9.19,6.25
vo,12.81,13.63,18.53,6.68,17.02,0.60,5.13,15.22,2.03,22.28,11.57,19.36,18.95,17.17,7.44,12.67,12.57,15.21,16.17,3.22,16.47,13.82,24.26,21.39,5.90,3.86,25.30,8.53,5.13,15.22,13.48,12.58,16.64,10.65,5.94
voo,11.95,21.98,21.19,11.27,18.88,15.89,14.76,13.60,22.07,17.02,15.19,0.25,7.22,19.66,3.11,22.35,16.82,16.94,9.50,22.85,23.36,17.26,12.67,21.99,26.46,15.17,17.33,21.68,14.76,13.60,9.69,13.60,10.41,24.14,16.36
vti,18.98,18.80,8.37,1.90,15.16,11.62,2.24,11.83,7.79,2.80,6.73,15.93,4.89,17.74,4.53,13.03,4.09,4.34,17.58,20.33,7.57,20.17,18.74,5.47,9.28,19.06,4.27,7.44,2.24,11.83,0.88,4.83,11.88,3.91,18.44
vtv,17.14,14.27,14.51,25.50,8.02,32.30,35.65,26.29,28.23,9.57,9.87,26.98,12.97,0.33,22.20,5.61,10.35,20.74,15.54,28.28,7.46,8.91,10.44,12.57,11.74,10.32,11.52,13.91,35.65,26.29,18.93,17.17,18.22,2.85,17.30
vv,20.53,19.81,26.36,27.00,18.94,22.67,26.15,24.66,23.14,22.32,27.81,23.69,31.86,20.89,39.49,22.34,21.75,20.58,18.68,13.95,22.46,17.62,21.03,24.19,27.75,24.87,25.41,16.05,26.15,24.66,35.50,28.01,23.06,30.80,25.31
vwo,6.05,6.83,0.56,1.60,9.56,7.53,1.91,1.03,1.25,1.47,10.51,0.55,2.69,2.87,0.81,8.30,5.23,3.56,8.44,5.82,0.94,1.92,2.87,0.63,0.96,13.62,1.29,6.13,1.91,1.03,3.92,3.06,0.26,0.50,4.13
