biv,0.56,2.44,0.45,8.28,8.54,4.08,0.16,2.04,3.34,10.65,6.32,2.59,0.41,6.49,4.75,4.86,16.63,0.77,0.28,8.71,11.22,3.75,6.95,1.44,9.87,5.00,2.71,0.74,0.73,2.65,0.46,0.52,14.29,2.73,11.59,6.49,8.41,10.34,0.36,4.55,6.98,0.31,2.98,1.74,10.27,6.95,3.83,11.21,11.54,19.25,2.54,0.82,0.90,6.33,1.67,3.68,3.53,1.23,0.41,15.89,17.53,5.73,0.61,2.34,4.46,2.57,3.68,7.13,5.70,2.92,2.56,2.94,2.87,3.26,1.38,1.32,0.74,4.42,0.89,4.87,6.62,4.26,3.86,0.98,2.05,2.22,2.68,7.65,0.51,1.15,1.78,4.36,1.49,0.26,1.25,12.07,2.69,6.75,7.87,4.43
blv,1.84,0.99,2.28,1.12,1.70,0.13,0.08,1.63,7.88,5.98,1.44,1.29,4.39,3.30,0.59,5.52,1.21,4.57,0.91,1.36,2.01,0.78,0.18,5.77,1.66,1.36,2.81,3.91,2.19,3.30,4.60,5.22,0.92,4.91,2.13,2.55,3.26,1.15,0.29,0.38,1.58,1.69,1.04,5.12,0.44,1.19,2.66,0.47,1.73,0.38,2.85,0.87,2.85,1.71,0.62,0.68,1.77,0.26,7.11,5.83,1.12,3.83,5.85,1.70,1.96,1.00,8.38,1.45,0.16,6.22,0.35,3.19,1.75,0.94,1.80,2.64,1.22,1.08,2.05,7.00,0.84,2.66,3.60,3.26,3.06,3.10,0.28,2.39,2.62,4.93,0.66,1.53,0.40,0.27,3.63,0.56,3.97,0.71,2.82,7.79
bsv,11.30,1.21,5.77,0.24,3.06,3.17,9.46,0.61,2.94,4.04,12.37,3.26,1.28,0.56,8.45,4.79,4.03,11.34,2.58,6.08,4.78,7.43,2.15,0.98,4.98,11.97,5.30,7.72,4.69,9.27,12.08,11.43,7.30,1.35,3.67,6.72,4.17,11.65,3.16,13.55,5.80,5.46,14.53,11.28,7.66,6.45,12.62,3.78,3.13,0.30,1.80,20.24,3.90,0.96,8.75,7.41,8.81,4.59,10.72,0.20,1.15,2.06,3.97,18.81,2.28,0.13,6.54,11.89,0.36,14.23,6.03,8.84,0.19,6.26,0.74,6.36,6.28,8.25,4.04,7.28,12.84,10.27,8.05,20.95,5.95,2.72,3.36,13.91,7.51,6.52,3.10,2.33,5.86,3.01,2.22,0.69,5.55,5.58,1.68,3.77
vb,11.42,0.04,1.99,11.49,3.21,2.01,4.45,3.09,1.33,0.62,4.52,1.49,3.90,0.12,0.56,11.83,1.31,4.56,2.65,0.74,11.18,12.69,5.69,3.80,2.87,2.41,11.57,5.50,7.49,8.51,0.34,2.37,3.98,6.54,7.44,4.74,5.73,4.09,4.86,4.33,3.09,11.01,3.17,0.77,4.04,0.95,2.56,2.32,0.25,4.70,1.69,2.07,4.90,0.85,11.47,3.68,9.64,5.36,4.84,4.47,11.52,18.54,0.79,2.10,15.03,3.15,5.02,4.67,6.97,3.13,7.26,14.97,8.10,0.56,1.43,0.24,2.64,0.85,2.44,8.28,8.67,1.09,9.88,1.55,13.74,18.89,6.64,0.05,3.79,4.59,3.27,12.72,3.68,9.51,8.21,1.86,2.44,4.64,0.92,0.38
vo,10.48,13.63,18.53,15.02,2.76,0.60,5.13,15.22,2.03,12.44,1.42,1.77,2.40,8.96,13.75,0.99,5.26,9.21,8.10,6.91,1.26,13.51,14.20,6.16,11.53,8.72,3.07,3.87,13.19,8.90,13.20,3.24,10.79,7.09,3.35,14.84,2.49,10.04,8.64,14.90,1.96,7.42,2.54,0.57,16.62,7.61,21.54,7.15,5.96,12.23,6.66,19.07,6.90,3.44,12.02,14.67,3.30,9.09,6.95,8.36,10.67,11.56,21.84,4.28,7.47,9.57,1.93,4.83,18.25,0.04,12.86,2.93,11.70,2.88,4.32,10.53,13.92,2.97,17.66,1.84,14.03,12.11,13.13,4.32,3.71,1.96,5.48,5.62,1.30,5.14,17.94,8.28,16.42,10.92,9.96,0.89,1.63,0.55,12.46,20.20
voo,17.26,21.98,21.19,10.32,16.46,15.89,14.76,13.60,22.07,22.66,15.96,1.48,30.36,19.47,2.42,12.08,25.51,19.14,17.13,15.07,22.94,23.54,22.61,15.56,22.60,12.84,19.70,17.17,24.47,20.78,18.71,16.14,21.54,11.67,21.83,17.34,23.01,16.72,15.88,18.10,26.82,19.20,20.87,17.46,8.10,16.09,23.69,20.19,16.94,20.68,20.26,17.69,19.79,20.42,18.46,25.75,14.48,24.27,30.46,20.56,14.95,20.63,20.95,28.50,13.55,19.05,21.31,18.08,14.72,29.20,25.19,13.29,16.15,28.20,14.14,5.13,20.47,20.27,21.07,23.09,11.89,18.12,20.74,23.99,19.07,21.29,19.12,20.42,18.22,21.16,22.24,2.26,25.54,20.45,27.46,26.15,27.31,19.96,17.85,20.90
vti,3.14,18.80,8.37,2.71,18.23,11.62,2.24,11.83,7.79,5.86,15.81,35.08,16.39,13.88,4.90,3.24,3.93,12.02,2.13,1.30,2.50,7.97,7.29,2.48,15.26,13.48,0.42,6.16,2.26,17.18,13.69,8.06,0.54,22.17,18.39,7.36,12.97,5.86,7.55,8.42,9.56,13.98,12.97,20.69,4.44,19.92,3.79,4.09,2.11,3.76,14.24,5.49,16.50,13.85,19.18,1.14,12.85,21.78,10.72,4.26,6.33,5.78,20.07,0.12,15.63,2.26,0.20,12.21,24.01,6.55,1.50,12.67,16.80,14.44,18.28,1.24,15.48,17.20,5.41,11.08,8.95,4.19,1.95,15.10,20.31,4.87,12.22,14.98,24.64,13.96,7.18,17.46,16.10,1.64,16.88,18.03,16.89,14.57,7.54,6.99
vtv,19.77,14.27,14.51,23.21,15.13,32.30,35.65,26.29,28.23,9.84,16.13,24.18,21.29,8.56,20.70,21.78,22.09,20.04,25.28,23.55,18.91,8.50,19.25,34.90,6.62,17.42,24.59,24.11,22.05,12.13,14.36,23.03,14.58,20.50,4.61,10.77,21.26,15.86,22.73,11.27,13.84,17.47,13.56,13.10,25.88,18.58,2.37,22.01,18.39,21.75,20.62,18.02,18.53,17.84,4.25,15.71,22.40,5.49,4.62,15.84,10.45,10.10,8.19,3.47,12.30,22.27,17.22,17.25,5.06,8.38,18.93,19.71,16.72,24.41,19.45,30.10,2.02,20.84,21.08,13.71,7.21,21.95,10.38,11.05,9.70,20.26,24.98,21.14,11.05,20.45,9.91,17.60,2.50,22.24,2.11,15.12,16.83,19.56,21.84,19.02
vv,17.79,19.81,26.36,24.92,20.69,22.67,26.15,24.66,23.14,25.27,23.80,28.58,16.97,25.72,38.37,26.14,19.52,15.18,29.75,22.68,24.04,18.74,16.88,21.05,22.58,22.42,21.99,23.01,22.83,17.04,21.23,22.50,22.58,22.56,25.96,21.81,17.73,21.95,24.79,21.64,21.68,20.37,24.52,24.70,22.24,20.98,26.33,22.15,30.72,16.63,26.70,14.52,19.10,20.29,23.36,21.91,23.09,24.95,21.55,24.23,24.82,21.30,16.83,27.48,22.22,23.42,29.31,18.50,23.59,26.76,15.52,20.71,17.57,16.11,29.28,30.23,25.84,15.62,20.41,22.45,27.15,21.02,27.67,17.41,20.97,21.43,20.35,13.36,28.53,20.78,23.77,26.67,24.47,18.53,25.67,24.04,17.22,23.63,20.29,16.02
vwo,6.44,6.83,0.56,2.69,10.21,7.53,1.91,1.03,1.25,2.64,2.23,0.28,2.62,12.94,5.51,8.77,0.51,3.16,11.19,13.61,1.16,3.09,4.81,7.89,2.03,4.38,7.85,7.81,0.10,0.24,1.34,7.49,3.47,0.48,1.03,7.39,0.97,2.36,11.74,2.87,8.69,3.09,3.84,4.57,0.31,1.27,0.62,6.62,9.22,0.32,2.64,1.21,6.62,14.31,0.22,5.37,0.14,2.99,2.62,0.36,1.45,0.47,0.91,11.20,5.09,16.58,6.42,3.99,1.18,2.57,9.80,0.75,8.15,2.94,9.17,12.20,11.38,8.49,4.94,0.40,1.81,4.32,0.74,1.40,1.44,3.26,4.89,0.47,1.85,1.32,10.15,6.79,3.53,13.17,2.62,0.60,5.47,4.04,6.73,0.49
